TSXV, 01 Communique Laboratory Inc. , ONE ," 16,435,952 "," 65,743,807 ",Technology,TSX Comedown,20140731,,,,,No,,ON,Canada,,,,,Software,,,,, Tier2 ,," 2,046,551 "," 453,451 ", 649 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, 3MV Energy Corp , TMV ," 12,613,169 "," 51,482,322 ",Oil & Gas,QT,20100507,20120207,,,,Yes,,AB,Canada,,,,,,,,,, Tier1 ,," 1,760,684 "," 211,318 ", 260 ,10,,,Western Canada,,,,,,1,,,,,,,,,,,,,,,,,,,
TSXV, 49 North Resources Inc , FNR ," 5,894,922 "," 21,053,294 ",Financial Services,Other,20061228,,,,,No,,SK,Canada,,,,,,,,,, Tier 1 ,," 4,039,604 "," 7,599,057 "," 1,186 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSXV, 88 Capital Corp , EEC ," 1,021,472 "," 11,462,188 ",Mining,QT,20111003,20120423,,,,Yes,,BC,Canada,,,,,,,,,, Tier2 ,," 4,426,663 "," 124,811 ", 288 ,9,,,BC,,,,,,,1,,,,,,,,,,,,,,,,,,
TSXV, 92 Resources Corp. , NTY ," 1,426,584 "," 11,888,203 ",Mining,IPO,20100315,,,,,No,,BC,Canada,,,,,,,,,, Tier2 ,," 8,274,234 "," 427,036 ", 680 ,10,,,"BC,SK",,,,,,,,,,,,,,,,,,,,1,,,,,Frac Sands
TSXV, Abacus Mining & Exploration Corporation , AME ," 10,707,881 "," 214,157,611 ",Mining,,,,,,,No,,BC,Canada,,,,,,,,,, Tier1 ,," 26,375,527 "," 1,727,737 "," 2,013 ",10,,,BC,,,,,,,1,,1,,,,,,,,,,,,,,1,,
TSXV, Abcourt Mines Inc. , ABI ," 10,797,805 "," 196,323,719 ",Mining,,,,,,,No,1,Quebec,Canada,,,,,,,,,, Tier2 ,," 36,643,813 "," 2,519,526 "," 2,311 ",10,,,Quebec,,,,,,,1,1,,,,,,,,1,,,,,,,,,
TSXV, ABE Resources Inc. , ABE ," 575,547 "," 11,510,944 ",Mining,,,,,,,No,,Quebec,Canada,,,,,,,,,, Tier2 ,," 2,504,431 "," 203,212 ", 325 ,10,,,"NB,Quebec",,,,,,,1,,1,1,,,,,,,,,,1,,,1,1,
TSXV, Aben Resources Ltd , ABN ," 1,078,552 "," 26,963,790 ",Mining,,,,,,,No,,BC,Canada,,,,,,,,,, Tier2 ,," 11,149,209 "," 225,183 ", 560 ,10,,,"NWT,SK,YT",,,,,,,1,1,,,,,,,,,,,,1,,,,,
TSXV, Abenteuer Resources Corp. , ABU ," 2,558,957 "," 18,278,266 ",Oil & Gas,,,,,,,Yes,,BC,Canada,,,,,,,,,, Tier2 ,," 2,079,765 "," 217,900 ", 153 ,10,,,"AB,SK",,,,,,1,,,,,,,,,,,,,,,,,,,
TSXV, Abington Resources Ltd , ABL ," 565,346 "," 10,279,027 ",Oil & Gas,,,,,,,No,,BC,Canada,,,,,,,,,, Tier2 ,," 920,591 "," 69,351 ", 185 ,10,,,SK,,,,,AZ,1,,,,,,,,,,,,,,,,,,,
TSXV, Abitibi Royalties Inc , RZZ ," 30,445,470 "," 10,251,000 ",Mining,Other,20110715,,,,,No,1,Quebec,Canada,,,,,,,,,, Tier2 ,," 1,131,436 "," 2,835,838 "," 1,450 ",10,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,1,
